Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season_id,Month,Year,Day,result_encoded,total_goals,btts,over_2_5,over_1_5,htr_encoded,home_team_encoded,away_team_encoded,referee_encoded,day_encoded,month_sin,month_cos,home_points_last5,home_goals_scored_avg5,home_goals_conceded_avg5,home_sot_avg5,home_clean_sheets_last5,home_points_last10,home_goals_scored_avg10,home_goals_conceded_avg10,home_win_streak,away_points_last5,away_goals_scored_avg5,away_goals_conceded_avg5,away_sot_avg5,away_clean_sheets_last5,away_points_last10,away_goals_scored_avg10,away_goals_conceded_avg10,away_win_streak,home_win_rate_last10,home_goals_avg_last10,away_win_rate_last10,away_goals_avg_last10,h2h_meetings,h2h_home_win_rate,h2h_avg_total_goals,h2h_btts_rate,home_conversion_rate_avg5,home_sot_ratio_avg5,away_conversion_rate_avg5,away_sot_ratio_avg5,home_2nd_half_goals_avg5,home_lead_hold_rate,home_comeback_rate,away_2nd_half_goals_avg5,away_lead_hold_rate,away_comeback_rate,ref_avg_yellows,ref_avg_fouls,ref_home_win_rate,match_week,season_phase,home_days_rest,away_days_rest
2005-01-10,Sunderland,West Ham,1,1,D,1,0,H,M Atkinson,16,6.0,8,3,12,15,5,3,1,5,0,0,2005-2006,January,2005,Monday,1,2,1,0,1,2,36,41,33,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,1,0,7.0,7.0
2005-01-10,Portsmouth,Newcastle,0,0,D,0,0,D,S Bennett,10,6.0,6,3,12,12,4,4,1,2,0,0,2005-2006,January,2005,Monday,1,0,0,0,0,1,30,27,59,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,1,0,7.0,7.0
2005-01-10,Fulham,Man United,2,3,A,2,3,A,H Webb,11,11.0,6,7,20,11,3,9,2,1,0,0,2005-2006,January,2005,Monday,0,5,1,1,1,0,16,25,21,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,1,0,7.0,7.0
2005-01-10,Charlton,Tottenham,2,3,A,1,0,H,P Dowd,9,13.0,4,7,15,17,1,6,3,2,0,0,2005-2006,January,2005,Monday,0,5,1,1,1,2,11,38,47,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,1,0,7.0,7.0
2005-01-10,Blackburn,West Brom,2,0,H,0,0,D,U Rennie,20,6.0,11,3,15,17,11,1,2,0,0,0,2005-2006,January,2005,Monday,2,2,0,0,1,1,3,40,69,0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,1,0,7.0,7.0
2005-02-10,Man City,Everton,2,0,H,0,0,D,M Halsey,14,5.0,5,4,16,10,4,2,1,0,0,0,2005-2006,February,2005,Thursday,2,2,0,0,1,1,24,15,37,3,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,2,0,7.0,7.0
2005-02-10,Arsenal,Birmingham,1,0,H,0,0,D,C Foy,16,2.0,13,2,13,17,11,4,0,1,0,1,2005-2006,February,2005,Thursday,2,1,0,0,0,1,0,2,8,3,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,2,0,7.0,7.0
2005-02-10,Aston Villa,Middlesbrough,2,3,A,0,1,A,M Dean,13,13.0,6,10,17,10,6,5,4,1,0,0,2005-2006,February,2005,Thursday,0,5,1,1,1,0,1,26,35,3,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,2,0,7.0,7.0
2005-02-10,Liverpool,Chelsea,1,4,A,1,2,A,G Poll,11,7.0,5,5,15,17,4,2,1,3,0,0,2005-2006,February,2005,Thursday,0,5,1,1,1,0,22,12,19,3,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,2,0,7.0,7.0
2005-02-10,Wigan,Bolton,2,1,H,0,0,D,A Wiley,16,13.0,9,4,11,14,4,8,0,2,0,0,2005-2006,February,2005,Thursday,2,3,1,1,1,1,42,5,6,3,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4665329881626971,2.65423871207929,0.4937885423353996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289040786828676,23.126539782191653,0.46575804846401525,2,0,7.0,7.0
